plant_id,no_amf,total_amf,hyphae_only,vesicles,arbuscules,coils,arbs_and_coils,total,dse,other_fungi
11,60,40,23,8,5,4,9,100,18,0
1,75,25,20,0,5,1,6,100,33,3
12,35,65,43,12,2,8,10,100,16,1
2,59,41,24,12,2,3,5,100,12,0
13,23,77,48,20,3,7,10,100,4,4
3,64,36,26,4,4,2,6,100,18,2
14,46,54,38,6,6,6,12,100,18,0
4,42,58,44,11,2,1,3,100,6,0
15,42,58,38,11,6,7,13,100,37,2
5,64,36,27,8,0,1,1,100,23,0
16,59,41,25,11,2,3,5,100,65,0
6,54,46,40,4,0,2,2,100,11,0
17,54,46,28,7,9,2,11,100,19,1
7,76,24,17,3,3,1,4,100,30,2
18,67,33,24,6,3,1,4,100,26,1
8,83,17,10,6,1,0,1,100,29,7
19,46,54,39,9,4,3,7,100,11,1
9,74,26,18,5,3,0,3,100,21,2
20,81,19,14,4,1,0,1,100,12,1
10,78,22,18,4,0,0,0,100,34,3
31,69,31,27,3,0,1,1,100,26,7
21,63,37,19,2,11,5,16,100,26,
22,78,22,13,5,1,3,4,100,21,8
33,80,20,10,10,0,0,0,100,16,13
23,90,10,7,1,1,1,2,100,18,6
34,70,30,20,4,5,2,7,100,20,14
24,78,22,17,2,1,3,4,100,39,4
35,66,34,26,6,2,0,2,100,19,7
25,85,15,12,2,1,0,1,100,48,2
36,85,15,11,1,2,1,3,100,17,9
26,91,9,2,6,0,1,1,100,35,10
37,65,35,27,2,6,2,8,100,8,1
27,75,25,15,2,6,2,8,100,28,13
38,89,11,9,1,1,0,1,100,19,10
28,85,15,12,2,0,1,1,100,26,1
39,95,5,1,0,5,0,5,100,61,10
29,84,16,13,1,0,2,2,100,34,13
40,83,17,12,2,1,2,3,100,10,19
30,73,27,19,2,5,1,6,100,51,2
51,92,8,3,1,3,1,4,100,31,4
41,80,20,9,1,8,2,10,100,41,2
52,65,35,22,8,3,2,5,100,1,3
42,89,11,11,0,0,0,0,100,36,4
53,79,21,9,4,4,4,8,100,29,13
43,76,24,22,1,0,1,1,100,42,8
54,65,35,18,11,3,3,6,100,15,3
44,81,19,17,0,1,1,2,100,13,4
55,82,18,7,12,0,0,0,100,33,6
45,91,9,8,0,0,1,1,100,31,7
56,70,30,18,3,5,4,9,100,12,0
46,78,22,19,1,1,1,2,100,34,0
57,70,30,20,8,3,1,4,100,31,2
47,89,11,11,4,1,0,1,100,28,1
58,90,10,3,1,3,3,6,100,16,8
48,87,13,9,0,3,1,4,100,26,0
59,64,36,32,4,0,0,0,100,24,1
49,85,15,13,0,0,2,2,100,42,5
60,61,39,34,2,2,1,3,100,35,0
50,78,22,16,2,1,3,4,100,28,8
71,97,3,1,1,0,1,1,100,6,13
61,92,8,4,0,0,4,4,100,46,21
72,98,2,1,1,0,0,0,100,28,17
62,89,11,8,0,3,0,3,100,32,0
73,92,8,7,0,2,0,2,100,0,6
63,97,3,2,0,1,0,1,100,16,13
74,95,5,2,1,2,0,2,100,6,9
64,92,8,1,0,5,2,7,100,48,4
75,93,7,5,1,1,0,1,100,10,6
65,94,6,6,0,0,0,0,100,48,17
76,90,10,10,0,0,0,0,100,64,11
66,95,5,4,0,1,0,1,100,23,4
77,83,17,7,1,7,2,9,100,37,4
67,79,21,6,0,14,1,15,100,26,14
78,97,3,2,1,0,0,0,100,21,6
68,94,6,5,0,1,0,1,100,13,7
79,94,6,5,0,1,1,2,100,19,7
69,86,14,7,6,1,1,2,100,41,8
80,98,2,0,0,1,1,2,100,31,10
70,94,6,4,1,1,0,1,100,39,1
