plant_id,mycorrhiza_species,present
1,acaulospora_delicata,0
1,glomus_geosporum,0
1,acaulospora_spAF141_5W,0
1,acaulospora_spAF141_3S,0
1,archaeospora_trappei,0
1,entrosphora_infrequens,0
1,glomus_claroideum,0
1,glomus_eburneum,1
1,glomus_etunicatum,0
1,glomus_fasciculatum,0
1,glomus_intraradices,1
1,glomus_luteum,1
1,glomus_macrocarpum,0
1,glomus_microaggregatum,0
1,glomus_mosseae,1
1,glomus_spurcum,0
1,glomus_sinuosum,0
1,glomus_spaz112,0
1,glomus_spaz123,0
1,paraglomus_occultum,1
1,acaulospora_morrowiae,0
1,acaulospora_mellea,0
2,acaulospora_delicata,0
2,glomus_geosporum,0
2,acaulospora_spAF141_5W,0
2,acaulospora_spAF141_3S,0
2,archaeospora_trappei,0
2,entrosphora_infrequens,0
2,glomus_claroideum,0
2,glomus_eburneum,0
2,glomus_etunicatum,0
2,glomus_fasciculatum,1
2,glomus_intraradices,1
2,glomus_luteum,0
2,glomus_macrocarpum,0
2,glomus_microaggregatum,0
2,glomus_mosseae,1
2,glomus_spurcum,0
2,glomus_sinuosum,0
2,glomus_spaz112,0
2,glomus_spaz123,0
2,paraglomus_occultum,0
2,acaulospora_morrowiae,0
2,acaulospora_mellea,0
3,acaulospora_delicata,1
3,glomus_geosporum,0
3,acaulospora_spAF141_5W,0
3,acaulospora_spAF141_3S,0
3,archaeospora_trappei,0
3,entrosphora_infrequens,1
3,glomus_claroideum,0
3,glomus_eburneum,0
3,glomus_etunicatum,0
3,glomus_fasciculatum,0
3,glomus_intraradices,1
3,glomus_luteum,0
3,glomus_macrocarpum,0
3,glomus_microaggregatum,0
3,glomus_mosseae,1
3,glomus_spurcum,0
3,glomus_sinuosum,0
3,glomus_spaz112,0
3,glomus_spaz123,0
3,paraglomus_occultum,0
3,acaulospora_morrowiae,0
3,acaulospora_mellea,0
4,acaulospora_delicata,0
4,glomus_geosporum,0
4,acaulospora_spAF141_5W,0
4,acaulospora_spAF141_3S,0
4,archaeospora_trappei,0
4,entrosphora_infrequens,0
4,glomus_claroideum,0
4,glomus_eburneum,0
4,glomus_etunicatum,0
4,glomus_fasciculatum,0
4,glomus_intraradices,1
4,glomus_luteum,0
4,glomus_macrocarpum,0
4,glomus_microaggregatum,0
4,glomus_mosseae,1
4,glomus_spurcum,0
4,glomus_sinuosum,0
4,glomus_spaz112,0
4,glomus_spaz123,0
4,paraglomus_occultum,0
4,acaulospora_morrowiae,0
4,acaulospora_mellea,0
5,acaulospora_delicata,0
5,glomus_geosporum,0
5,acaulospora_spAF141_5W,0
5,acaulospora_spAF141_3S,0
5,archaeospora_trappei,0
5,entrosphora_infrequens,1
5,glomus_claroideum,0
5,glomus_eburneum,1
5,glomus_etunicatum,1
5,glomus_fasciculatum,0
5,glomus_intraradices,1
